"","id","price","latitude","longitude","city","name","review_scores_rating","neighbourhood_cleansed"
"1",17948917,50,-37.949195992713,145.151697635398,"victoria","Separate",NA,"Greater Dandenong"
"2",17816991,100,-37.9504837731027,145.148574322329,"victoria","lge large",NA,"Greater Dandenong"
"3",4287875,50,-37.9831766325959,145.171930888831,"Keysborough","small and comfy .",95,"Greater Dandenong"
"4",17797801,98,-37.9444596118172,145.152214837849,"victoria","study",NA,"Greater Dandenong"
"5",17797773,100,-37.9502386945587,145.146512187034,"victoria","master bedroom",NA,"Greater Dandenong"
"6",17547269,125,-37.976183195023,145.207178200678,"Dandenong","Hotel in Dandenong",NA,"Greater Dandenong"
"7",10927751,60,-37.9696673551519,145.172255051025,"Noble Park","Room for rent noble park",NA,"Greater Dandenong"
"8",10127951,248,-37.991688514051,145.203059022091,"Dandenong South","Insaa Apartments Dandenong - 3BR Townhouse",100,"Greater Dandenong"
"9",9374434,39,-37.9589697695666,145.145906315543,"Springvale","A room with a double bed!",96,"Greater Dandenong"
"10",14600160,218,-38.0035647265019,145.155979962195,"Keysborough","湿地旁的橄榄树之家 The olive tree house",98,"Greater Dandenong"
"11",3856909,132,-37.9824666460251,145.214488255464,"Dandenong","4BR House-DANDENONG–PERFECT LOCAT'N",NA,"Greater Dandenong"
"12",9245788,45,-37.9674902505367,145.168887831145,"Noble Park","Cosy bed room with private washroom",96,"Greater Dandenong"
"13",12501251,35,-37.9469272471611,145.145449713376,"Springvale","Private bedroom Double Bed",100,"Greater Dandenong"
"14",16073615,68,-37.9510663882006,145.142705524362,"Springvale","Queen bedroom in Springvale with free wifi",90,"Greater Dandenong"
"15",16461750,41,-37.9975424514673,145.149133511675,"Keysborough","Big sunny queen size bed + single bed room for 2+1",93,"Greater Dandenong"
"16",3221228,35,-37.9619680934119,145.162627213387,"Springvale South","Spacious room - CBD 30m by metro",NA,"Greater Dandenong"
"17",6561521,39,-37.9421957438936,145.144604987856,"Springvale","Melbourne Garden Hostel Room1",73,"Greater Dandenong"
"18",10531333,60,-37.9995238007095,145.177937104815,"Keysborough","i am friendly",NA,"Greater Dandenong"
"19",6559957,20,-37.9410053320604,145.145696456361,"Springvale","Melbourne Garden Hostel Room2",83,"Greater Dandenong"
"20",17834431,98,-37.9770620188746,145.209971111237,"Dandenong","The view is very beautiful",NA,"Greater Dandenong"
"21",11148934,75,-37.9527642726865,145.227037050964,"Dandenong North","Tuscan Villa in amazing views.",NA,"Greater Dandenong"
"22",12988604,90,-37.9563248654482,145.1819731672,"Noble Park","A Third Floor Apartment Close to Amenities",100,"Greater Dandenong"
"23",13033196,60,-37.96982275825,145.20971128342,"Dandenong","2nd bedroom in large modern home.",100,"Greater Dandenong"
