,suburb,1 bed flat median,2 bed flat median,3 bed flat median,2 bed house median,3 bed house median,4 bed house median,house average price,unit average price
0,abbotsford,390,500,750,560,700,null,1350000.0,560500.0
1,albert park,340,490,795,650,900,1050,1875000.0,250100.0
2,alfredton,160,231,310,240,300,370,398800.0,482500.0
3,alphington,290,380,570,480,620,850,1583500.0,382000.0
4,altona,260,329,400,330,370,400,840000.0,455000.0
5,armadale,325,430,650,620,850,950,2050000.0,645000.0
6,ascot vale,300,390,495,450,550,688,1150000.0,233000.0
7,ashburton,230,420,540,390,465,645,1780000.0,550000.0
8,aspendale,295,360,440,365,450,550,1005000.0,340000.0
9,avondale heights,330,385,415,360,400,493,849000.0,656000.0
10,bairnsdale,180,230,295,243,300,370,290000.0,470500.0
11,ballarat,170,250,293,250,290,358,,
12,balwyn,360,420,570,405,550,720,2175100.0,456300.0
13,barwon heads,null,310,370,315,380,450,867500.0,600000.0
14,bayswater,null,330,395,345,380,420,720000.0,483500.0
15,beaumaris,340,460,650,498,695,1000,1475000.0,475000.0
16,belmont,223,295,365,310,360,420,500000.0,510000.0
17,benalla,150,194,225,220,270,340,225000.0,470000.0
18,bendigo,180,238,350,253,290,335,495000.0,390000.0
19,bendigo east,168,240,290,260,300,360,,
20,bentleigh,295,405,550,430,525,750,1402500.0,683800.0
21,berwick,235,320,360,335,370,420,610000.0,329500.0
22,blackburn,340,390,460,380,420,550,1366500.0,272500.0
23,boronia,265,345,390,330,370,430,690000.0,295000.0
24,box hill,258,390,500,393,450,600,1490000.0,585000.0
25,brighton,380,515,750,608,875,1300,3365000.0,610000.0
26,brighton east,null,450,628,515,675,950,1765000.0,454100.0
27,broadmeadows,248,327,350,320,343,410,512500.0,197500.0
28,brunswick,321,430,645,500,635,775,1152000.0,430000.0
29,bulleen,350,422,500,400,450,550,1290000.0,225000.0
30,bundoora,285,345,400,330,385,420,680500.0,247500.0
31,buninyong,170,240,280,240,303,383,424500.0,272500.0
32,burnley,380,530,750,590,750,950,1435000.0,335000.0
33,burwood,230,420,540,390,465,645,1327500.0,330000.0
34,burwood east,303,370,430,360,420,500,1103000.0,704500.0
35,camberwell,340,430,600,495,650,895,2228000.0,487000.0
36,canterbury,360,405,565,475,630,800,3030400.0,350000.0
37,carlton,355,500,668,500,750,900,1545500.0,440000.0
38,carlton north,345,450,650,530,710,957,1650000.0,370000.0
39,carnegie,290,415,540,450,553,795,1420000.0,572000.0
40,carrum,295,360,440,365,450,550,805500.0,200000.0
41,carrum downs,240,310,360,325,350,450,491500.0,570000.0
42,castlemaine,null,275,null,290,320,400,424000.0,622500.0
43,caulfield,300,440,595,470,650,820,1893000.0,700000.0
44,cbd,400,560,820,455,343,null,,
45,chadstone,350,395,500,380,440,593,1195000.0,297000.0
46,chelsea,295,360,440,365,450,550,880000.0,224000.0
47,cheltenham,310,385,495,435,500,650,1108500.0,295000.0
48,clayton,260,370,450,380,410,530,1312500.0,457000.0
49,clifton hill,350,475,700,555,720,940,1205000.0,392000.0
50,coburg,310,380,510,425,500,600,902500.0,591300.0
51,coburg north,210,370,430,380,430,550,760000.0,391500.0
52,collingwood,390,500,750,560,700,null,1427500.0,380000.0
53,corio,190,260,270,230,260,300,271800.0,280000.0
54,craigieburn,null,310,340,320,350,400,466300.0,447700.0
55,cranbourne,260,300,330,330,355,400,465400.0,282500.0
56,croydon,270,340,400,350,395,480,724500.0,218000.0
57,dandenong,240,290,370,310,370,500,565000.0,389500.0
58,dandenong north,250,300,350,293,345,407,589000.0,490000.0
59,deer park,220,290,330,300,330,380,485000.0,529000.0
60,delacombe,183,230,265,240,270,340,318000.0,542000.0
61,docklands,430,580,925,null,240,null,,
62,doncaster,350,422,500,400,450,550,1348500.0,352500.0
63,doncaster east,350,400,460,380,450,550,1210000.0,635000.0
64,donvale,350,400,460,380,450,550,1137500.0,520000.0
65,dromana,230,300,380,300,350,475,675000.0,870000.0
66,east brunswick,350,460,600,510,650,720,,
67,east hawthorn,350,435,598,550,720,895,,
68,east melbourne,390,550,850,600,1000,null,2621000.0,535000.0
69,east st kilda,305,410,570,570,738,895,,
70,echuca,150,250,285,280,325,415,330000.0,430000.0
71,elsternwick,300,440,560,490,686,1021,1975000.0,252500.0
72,eltham,285,350,430,350,440,540,885000.0,141000.0
73,elwood,325,445,600,598,795,1065,1750000.0,461000.0
74,endeavour hills,250,300,350,293,345,407,603800.0,352000.0
75,epping,280,320,345,320,360,410,499000.0,389000.0
76,essendon,300,370,450,398,450,600,1402000.0,290000.0
77,fairfield,290,380,570,480,620,850,1785000.0,245000.0
78,fawkner,260,350,400,340,380,430,665000.0,436300.0
79,ferntree gully,null,340,390,335,390,438,703500.0,510000.0
80,fitzroy,390,555,750,590,750,970,1870000.0,586000.0
81,fitzroy north,350,475,700,555,720,940,1375500.0,345000.0
82,flemington,320,395,550,480,580,750,1097500.0,488000.0
83,flinders,275,295,365,310,360,460,1443500.0,173000.0
84,flora hill,168,240,290,260,300,360,324500.0,518800.0
85,footscray,270,370,533,420,460,480,850000.0,318000.0
86,forest hill,303,370,430,360,420,500,1055000.0,506300.0
87,frankston,230,295,360,320,370,450,550100.0,251000.0
88,geelong,230,292,370,300,330,390,760000.0,385000.0
89,geelong west,210,275,395,325,360,400,600500.0,559000.0
90,gladstone park,270,330,368,330,360,420,622000.0,1005000.0
91,glen iris,340,430,600,495,650,895,1857000.0,500000.0
92,glen waverley,360,400,480,395,440,510,1261000.0,390000.0
93,glenroy,260,350,400,340,380,430,671000.0,138000.0
94,golden square,193,250,300,260,290,340,306000.0,143500.0
95,greensborough,285,345,400,330,385,420,735000.0,632000.0
96,grovedale,223,295,365,310,360,420,410500.0,286300.0
97,hamilton,140,190,null,210,240,293,164000.0,285000.0
98,hampton,340,460,650,498,695,1000,1722300.0,499000.0
99,hampton park,240,310,350,320,350,420,466000.0,400000.0
100,hastings,275,295,365,310,360,460,495000.0,235000.0
101,hawthorn,305,430,645,563,700,910,2020000.0,417500.0
102,heidelberg,340,375,430,345,410,480,1188500.0,407500.0
103,heidelberg west,340,375,430,345,410,480,729500.0,782000.0
104,herne hill,210,275,395,325,360,400,462500.0,487000.0
105,hoppers crossing,250,285,320,300,330,380,470000.0,670000.0
106,horsham,185,200,295,215,270,340,259000.0,575000.0
107,hughesdale,290,410,498,443,465,700,1385000.0,315000.0
108,hurstbridge,285,345,400,330,385,420,730000.0,550000.0
109,ivanhoe,380,400,560,445,550,745,1580000.0,187500.0
110,ivanhoe east,380,400,560,445,550,745,1801000.0,470000.0
111,kangaroo flat,193,250,300,260,290,340,301300.0,590000.0
112,keilor,null,null,null,null,400,455,680000.0,225000.0
113,keilor east,330,385,415,360,400,493,720000.0,475700.0
