stop_name,lat,lon,stop_type
Dole Ave/Cheddar Rd (Reservoir),-37.70077481,145.0189511,bus
Rex St/Taylors Rd (Kings Park),-37.72697521,144.7761524,bus
Yuille St/Centenary Ave (Melton),-37.6761595,144.5957894,bus
Gum Rd/Main Rd West (Albanvale),-37.74149711,144.7758994,bus
Lloyd Ave/Cheddar Rd (Reservoir),-37.69918301,145.0196853,bus
Kings Rd/Main Rd West (St Albans),-37.74194553,144.7800847,bus
Moffat St/Main Rd West (St Albans),-37.7423246,144.7834665,bus
Washington St/Main Rd West (St Albans),-37.74279566,144.7879123,bus
Kate St/Main Rd West (St Albans),-37.74356938,144.7945734,bus
Raleighs Rd/Centenary Ave (Melton),-37.67530436,144.5887764,bus
Melton Cemetery/O'Neills Rd (Melton),-37.67498051,144.5782544,bus
Emil Park/O'Neills Rd (Melton),-37.67875895,144.577508,bus
Reservoir Shopping Centre/Broadway (Reservoir),-37.71703287,145.0098847,bus
Northumberland Rd/Pascoe St (Pascoe Vale),-37.7162865,144.9340441,bus
Liston Ave/Cheddar Rd (Reservoir),-37.69744778,145.0210017,bus
Westbreen Primary School/Pascoe St (Pascoe Vale),-37.71655281,144.936385,bus
Joffre Rd/Boundary Rd (Pascoe Vale),-37.71691492,144.9400846,bus
Kent Rd/Cumberland Rd (Pascoe Vale),-37.72071084,144.940195,bus
Warwick Rd/Cumberland Rd (Pascoe Vale),-37.72220292,144.9399722,bus
Daley St/Cumberland Rd (Pascoe Vale),-37.72501492,144.9394745,bus
Pleasant St/Cumberland Rd (Pascoe Vale),-37.72711752,144.9391212,bus
Olive Gr/Cumberland Rd (Pascoe Vale),-37.72922911,144.9387676,bus
Gaffney St/Cumberland Rd (Pascoe Vale),-37.73216543,144.9381643,bus
Pardy St/Cumberland Rd (Pascoe Vale),-37.73392851,144.9379792,bus
Keon Pde/Dalton Rd (Thomastown),-37.69504835,145.0230162,bus
Eastgate St/Cumberland Rd (Pascoe Vale South),-37.73550025,144.9376746,bus
Bell St/Cumberland Rd (Pascoe Vale South),-37.73761144,144.9372983,bus
Balmoral Ave/Bell St (Pascoe Vale South),-37.73879226,144.9419521,bus
Royal Pde/Bell St (Pascoe Vale South),-37.73940394,144.9470531,bus
Davis St/Bell St (Coburg),-37.73979317,144.9507759,bus
Linsey St/Bell St (Coburg),-37.74008605,144.9536275,bus
Kelson St/Bell St (Coburg),-37.74032576,144.9560154,bus
Nelson St/Bell St (Coburg),-37.74071785,144.9599197,bus
Coburg Cemetery/Bell St (Preston),-37.74310506,144.9823698,bus
Tasman St/Bell St (Preston),-37.7435479,144.9856035,bus
Wood St/Dalton Rd (Thomastown),-37.69190899,145.0255152,bus
Gilbert Rd/Bell St (Preston),-37.74397544,144.9895299,bus
Erin St/Bell St (Preston),-37.74427667,144.9929264,bus
Penola St/Bell St (Preston),-37.74455323,144.9959377,bus
Bell Railway Station/Bell St (Preston),-37.7451615,145.0020384,bus
Plenty Rd/Bell St (Preston),-37.74548267,145.0050372,bus
Panch Health Centre/Bell St (Preston),-37.74582045,145.0084896,bus
O'Keefe St/Bell St (Preston),-37.74650014,145.0145886,bus
Liberty Pde/Bell St (Bellfield (3081)),-37.7494194,145.0371418,bus
Oriel Rd/Bell St (Bellfield (3081)),-37.74972949,145.0395284,bus
Settlement Rd/Dalton Rd (Thomastown),-37.68827471,145.0280611,bus
Plunkett St/Bell St (Bellfield (3081)),-37.7503134,145.0426682,bus
Waterdale Rd/Bell St (Bellfield (3081)),-37.7510312,145.0451917,bus
Gotha St/Bell St (Heidelberg Heights),-37.75189457,145.0478022,bus
Austin Repat MC/Bell St (Heidelberg Heights),-37.75267606,145.0498247,bus
Myrtle St/Bell St (Heidelberg Heights),-37.75384072,145.0526771,bus
Cartmell St/Cape St (Heidelberg),-37.75559602,145.0673302,bus
Brown St/Rosanna Rd (Heidelberg),-37.75210398,145.0703607,bus
Reid St/Rosanna Rd (Heidelberg),-37.75001084,145.0707669,bus
St James Rd/Rosanna Rd (Heidelberg),-37.74857343,145.0710426,bus
Alison St/Dalton Rd (Thomastown),-37.68400281,145.0291268,bus
Station Rd/Rosanna Rd (Rosanna),-37.74569732,145.0715145,bus
Millicent St/Lower Plenty Rd (Rosanna),-37.74048948,145.06938,bus
Arden Cres/Lower Plenty Rd (Rosanna),-37.7396742,145.0707743,bus
Milford Gr/Lower Plenty Rd (Rosanna),-37.73803532,145.0736085,bus
Lyons St/Hyde St (Footscray),-37.8081946,144.8997382,bus
Harris St/Hyde St (Footscray),-37.81115367,144.8984048,bus
Yarraville Gardens/Hyde St (Yarraville),-37.8142695,144.8972714,bus
Hall St/Hyde St (Yarraville),-37.81611028,144.8969011,bus
Earsdon St/Hyde St (Yarraville),-37.81822106,144.8965118,bus
Little Hyde St/Hyde St (Yarraville),-37.81988291,144.8962147,bus
Buckingham Ct/Dalton Rd (Thomastown),-37.68055186,145.0297057,bus
Hyde St/Francis St (Yarraville),-37.8217862,144.8953086,bus
Stephen St/Francis St (Yarraville),-37.82146439,144.8924322,bus
Hughes St/Francis St (Yarraville),-37.82125253,144.890666,bus
Evans St/Bridge St (Port Melbourne),-37.83418498,144.9405878,bus
158 Bridge St (Port Melbourne),-37.8358841,144.9424154,bus
Bay Street Shops/Bay St (Port Melbourne),-37.8385098,144.9426038,bus
Cruikshank St/Liardet St (Port Melbourne),-37.84002104,144.9450277,bus
Bridport St/Richardson St (Albert Park),-37.84235279,144.9490312,bus
Albert Park Shops/Richardson St (Albert Park),-37.84357915,144.951145,bus
