"","name","ranking","lon","lat","type","loctype","address","north","south","east","west","establishment","route","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","street_number","premise","subpremise","cafe","colloquial_area"
"1","Royal Botanical Garden Victoria",1,144.9796056,-37.8303689,"establishment","geometric_center","royal botanic gardens melbourne, birdwood ave, south yarra vic 3141, australia",-37.8290199197085,-37.8317178802915,144.980954580291,144.978256619709,"Royal Botanic Gardens Melbourne","Birdwood Avenue","South Yarra","Melbourne City","Victoria","Australia","3141",NA,NA,NA,NA,NA
"2","Melbourne Botanical Ground(MCG)",2,144.9834493,-37.8199669,"establishment","geometric_center","brunton ave, richmond vic 3002, australia",-37.8186179197085,-37.8213158802915,144.984798280291,144.982100319709,NA,"Brunton Avenue","Richmond","Melbourne City","Victoria","Australia","3002",NA,NA,NA,NA,NA
"3","Shrine of Remembrance",3,144.9734319,-37.8305164,"establishment","geometric_center","shrine of remembrance, birdwood ave, melbourne vic 3001, australia",-37.8291674197085,-37.8318653802915,144.974780880291,144.972082919708,"Shrine of Remembrance",NA,"Melbourne",NA,"Victoria","Australia","3001",NA,NA,NA,NA,NA
"4","City Circle Tram",4,145.1258403,-37.7929912,"route","geometric_center","tram rd, doncaster vic 3108, australia",-37.7873154,-37.7977912,145.1327831,145.1238803,NA,"Tram Road","Doncaster",NA,"Victoria","Australia","3108",NA,NA,NA,NA,NA
"5","National Gallery of Victoria",5,144.9689278,-37.8225942,"art_gallery","rooftop","180 st kilda rd, melbourne vic 3006, australia",-37.8212452197085,-37.8239431802915,144.970276780291,144.967578819709,NA,"St Kilda Rd","Melbourne","Melbourne City","Victoria","Australia","3006","180",NA,NA,NA,NA
"6","Port Campbell National Park",6,143.0607731,-38.6445019,"establishment","geometric_center","port campbell national park, great ocean road, port campbell vic 3269, australia",-38.6431529197085,-38.6458508802915,143.062122080291,143.059424119708,"Port Campbell National Park","Great Ocean Road","Port Campbell",NA,"Victoria","Australia","3269",NA,NA,NA,NA,NA
"7","Block Arcade",7,144.9645546,-37.81578,"establishment","geometric_center","282 collins st, block arcade studios, melbourne vic 3000, australia",-37.8144310197085,-37.8171289802915,144.965903580291,144.963205619709,NA,NA,"Melbourne",NA,"Victoria","Australia","3000",NA,NA,NA,NA,NA
"8","State Library of Victoria",8,144.9651897,-37.8098087,"art_gallery","rooftop","328 swanston st, melbourne vic 3000, australia",-37.8084597197085,-37.8111576802915,144.966538680292,144.963840719708,NA,"Swanston St","Melbourne","Melbourne City","Victoria","Australia","3000","328",NA,NA,NA,NA
"9","Melbourne Museum",9,144.9717408,-37.803273,"establishment","rooftop","11 nicholson st, carlton vic 3053, australia",-37.8019240197085,-37.8046219802915,144.973089780292,144.970391819709,NA,"Nicholson Street","Carlton","Melbourne City","Victoria","Australia","3053","11",NA,NA,NA,NA
"10","Eureka Skydeck 88",10,144.9647011,-37.8213666,"establishment","rooftop","7 riverside quay, southbank vic 3006, australia",-37.8200176197085,-37.8227155802915,144.966050080291,144.963352119709,NA,"Riverside Quay","Southbank","Melbourne City","Victoria","Australia","3006","7",NA,NA,NA,NA
"11","Melbourne Zoo",11,144.9515473,-37.7841346,"establishment","geometric_center","melbourne zoo, elliott ave, parkville vic 3052, australia",-37.7827856197085,-37.7854835802915,144.952896280291,144.950198319709,"Melbourne Zoo","Elliott Ave","Parkville","Melbourne City","Victoria","Australia","3052",NA,NA,NA,NA,NA
"12","Old Melbourne Gaol",12,144.9653171,-37.807832,"establishment","rooftop","377 russell st, melbourne vic 3000, australia",-37.8064830197085,-37.8091809802915,144.966666080292,144.963968119709,NA,"Russell St","Melbourne","Melbourne City","Victoria","Australia","3000","377",NA,NA,NA,NA
"13","ArtVo",13,144.93841,-37.8125265,"art_gallery","rooftop","26 star cres, docklands vic 3008, australia",-37.8111775197085,-37.8138754802915,144.939758980291,144.937061019708,NA,"Star Crescent","Docklands","Melbourne City","Victoria","Australia","3008","26",NA,NA,NA,NA
"14","Rod Laver Arena",14,144.9785364,-37.8216202,"establishment","rooftop","melbourne & olympic parks, olympic blvd, melbourne vic • 3001, australia",-37.8202712197085,-37.8229691802915,144.979885380292,144.977187419709,NA,"Olympic Boulevard","Melbourne","Melbourne City","Victoria","Australia","• 3001",NA,"Melbourne & Olympic Parks",NA,NA,NA
"15","National Sports Museum",15,144.9836967,-37.8189029,"establishment","geometric_center","melbourne cricket ground, brunton ave, melbourne vic 3000, australia",-37.8175539197085,-37.8202518802915,144.985045680292,144.982347719709,"Melbourne Cricket Ground","Brunton Avenue","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"16","Fizroy Gardens",16,144.9824451,-37.8160052,"establishment","geometric_center","fitzroy gardens, wellington parade, east melbourne vic 3002, australia",-37.8146562197085,-37.8173541802915,144.983794080291,144.981096119708,"Fitzroy Gardens","Wellington Parade","East Melbourne","Melbourne City","Victoria","Australia","3002",NA,NA,NA,NA,NA
